APPLE,,,SAMSUNG,
,,,,
ITEM,PRICE,,ITEM,PRICE
,,,,
iPhones Physical 1 year warranty,,,SAMSUNG EA 24 MONTHS WARRANTY,
,,,,
"17 Pro Max ITB (ORANGE, BLUE, SILVER)",243000,,Fold 7 512gb,210000
17 Pro max 512gb (Orange/ Blue/silver),213000,,Fold 7 256gb,181000
17 Pro Max 256gb (Orange/Blue/silver),190000,,S26 Ultra ITB,190000
"17 Pro 1tb (silver, BLUE, ORANGE)",240000,,S26 Ultra 512gb,154000
17 Pro 512gb (orange/ blue/silver),196000,,S26 Ultra 256gb,123000
17 Pro 256gb orange/blue/silver),169000,,S26 Plus 512gb,122000
17 256gb (all colours),125000,,S26 Plus 256gb,106000
17e 256gb,94000,,S26 256gb,98000
,,,A57 256gb 5G,50500
,,,A57 8/128gb 5G,43000
iPhones 2 YEARS EAST AFRICA (physical),,,A37 8/256gb 5G,43000
,,,A37 6/128gb 5G,38000
17 pro max 2tb cosmic /silver,310000,,A27 6/128gb 5G,31000
17 pro max Itb orange/blue /silver,243000,,A17 8/256gb,27800
17 pro max 512gb Orange & Blue /Silver,210000,,A17 6/128gb,22600
17 pro max 256gb Orange/Blue/silver,184000,,A17 4/128gb,22500
17 pro 512gb silver/orange/blue,196000,,A07 4/128gb,17000
17 pro 256gb orange/blue/silver,169000,,A07 4/64gb,16000
17 Plain 256gb Blk/Lavender/Sage,125000,,,
,,,SAMSUNG DUBAI(NO WARRANTY),
,,,Fold 7 512gb,182000
Iphones Esim Only 1 year warranty ,,,Fold 7 256gb,166000
,,,S26 Ultra 512gb,150000
17 pro max Itb Orange/Blue/silver,227000,,S26 Ultra 256gb,122000
17 pro max 512gb silver/blue/orange,196000,,S26 Plus 256gb,104000
17 Pro Max 256gb Silver/orange/blue,168000,,S25 Ultra 512gb,133000
17 Pro 1Tb silver,222000,,S25 Ultra 256gb,113000
17 Pro 512gb silver/Orange/Blue,185000,,S25 fe 256gb,73000
17 pro 256gb silver/orange/Blue,156000,,A57 8/256gb,50500
17 256gb,122000,,A37 8/256gb,43000
17 Air 256gb all colours,125000,,A37 6/128gb,39000
,,,A17 5G 8/256gb,30500
,,,A17 4/128gb,22500
,,,A07 4/128gb,15900
,,,A07 4/64gb,13500
,,,,
,,,,
GOOGLE PIXEL,,,ONE PLUS,
,,,,
ITEM,PRICE,,ITEM,PRICE
,,,,
Google Pixel Japan( No Warranty),,,One plus( No warranty),
,,,,
Pixel 10Pro Fold 256gb,167000,,One Plus 15 16/512gb,130000
Pixel 10Pro XL 512gb,152000,,One Plus 15 12/512gb,122000
Pixel 10Pro XL 256gb,127000,,One Plus 15 256gb,102000
Pixel 10Pro 256gb,125000,,One Plus 15R 12/256gb,74000
Pixel 10Pro 128gb,106000,,One plus 15R 12/512gb,80000
Pixel 10 256gb,92000,,,
Pixel 10 128gb,85000,,,
Pixel 10a 256gb,70000,,NOTHING GLOBAL,
,,,,
,,,ITEM,PRICE
,,,,
,,,Nothing Global ( No Warranty),
,,,,
,,,Nothing Phone 2 12/256gb,66000
,,,Nothing phone 3 12/256gb,83000
